number,musician,date
1,Kendrick Lamar,2022-05-19
2,Bad Bunny,2022-05-19
3,Drake,2022-05-19
4,Taylor Swift,2022-05-19
5,Kanye West,2022-05-19
6,Morgan Wallen,2022-05-19
7,Future,2022-05-19
8,Juice WRLD,2022-05-19
9,The Weeknd,2022-05-19
10,Jack Harlow,2022-05-19
1,Harry Styles,2022-05-26
2,Bad Bunny,2022-05-26
3,Kendrick Lamar,2022-05-26
4,Drake,2022-05-26
5,Taylor Swift,2022-05-26
6,Kanye West,2022-05-26
7,Future,2022-05-26
8,Morgan Wallen,2022-05-26
9,Juice WRLD,2022-05-26
10,Zach Bryan,2022-05-26
1,Bad Bunny,2022-06-02
2,Harry Styles,2022-06-02
3,Drake,2022-06-02
4,Kendrick Lamar,2022-06-02
5,Kanye West,2022-06-02
6,Taylor Swift,2022-06-02
7,Morgan Wallen,2022-06-02
8,Future,2022-06-02
9,Juice WRLD,2022-06-02
10,The Weeknd,2022-06-02
1,Bad Bunny,2022-06-09
2,Post Malone,2022-06-09
3,Harry Styles,2022-06-09
4,Drake,2022-06-09
5,Kanye West,2022-06-09
6,Kendrick Lamar,2022-06-09
7,Taylor Swift,2022-06-09
8,The Weeknd,2022-06-09
9,Morgan Wallen,2022-06-09
10,Juice WRLD,2022-06-09
1,Bad Bunny,2022-06-16
2,Drake,2022-06-16
3,Harry Styles,2022-06-16
4,Post Malone,2022-06-16
5,Taylor Swift,2022-06-16
6,Kanye West,2022-06-16
7,Kendrick Lamar,2022-06-16
8,Morgan Wallen,2022-06-16
9,Juice WRLD,2022-06-16
10,The Weeknd,2022-06-16
1,Drake,2022-06-23
2,Bad Bunny,2022-06-23
3,Taylor Swift,2022-06-23
4,Harry Styles,2022-06-23
5,Kanye West,2022-06-23
6,Post Malone,2022-06-23
7,Kendrick Lamar,2022-06-23
8,Morgan Wallen,2022-06-23
9,Juice WRLD,2022-06-23
10,The Weeknd,2022-06-23
1,Drake,2022-06-30
2,Bad Bunny,2022-06-30
3,Taylor Swift,2022-06-30
4,Kanye West,2022-06-30
5,Harry Styles,2022-06-30
6,Post Malone,2022-06-30
7,Morgan Wallen,2022-06-30
8,The Weeknd,2022-06-30
9,Kendrick Lamar,2022-06-30
10,Juice WRLD,2022-06-30
1,Bad Bunny,2022-07-07
2,Drake,2022-07-07
3,Taylor Swift,2022-07-07
4,Kanye West,2022-07-07
5,Morgan Wallen,2022-07-07
6,The Weeknd,2022-07-07
7,Harry Styles,2022-07-07
8,Juice WRLD,2022-07-07
9,Post Malone,2022-07-07
10,Kendrick Lamar,2022-07-07
1,Bad Bunny,2022-07-14
2,Drake,2022-07-14
3,Taylor Swift,2022-07-14
4,Kanye West,2022-07-14
5,Brent Faiyaz,2022-07-14
6,The Weeknd,2022-07-14
7,Morgan Wallen,2022-07-14
8,Juice WRLD,2022-07-14
9,Harry Styles,2022-07-14
10,Post Malone,2022-07-14
1,Bad Bunny,2022-07-21
2,Drake,2022-07-21
3,Taylor Swift,2022-07-21
4,Kanye West,2022-07-21
5,The Weeknd,2022-07-21
6,Morgan Wallen,2022-07-21
7,Juice WRLD,2022-07-21
8,Harry Styles,2022-07-21
9,Post Malone,2022-07-21
10,Kendrick Lamar,2022-07-21
1,Bad Bunny,2022-07-28
2,Drake,2022-07-28
3,Taylor Swift,2022-07-28
4,The Weeknd,2022-07-28
5,Kanye West,2022-07-28
6,Morgan Wallen,2022-07-28
7,Juice WRLD,2022-07-28
8,Kendrick Lamar,2022-07-28
9,Harry Styles,2022-07-28
10,Post Malone,2022-07-28
1,Bad Bunny,2022-08-04
2,Drake,2022-08-04
3,Beyoncé,2022-08-04
4,Taylor Swift,2022-08-04
5,The Weeknd,2022-08-04
6,Kanye West,2022-08-04
7,$uicideboy$,2022-08-04
8,Morgan Wallen,2022-08-04
9,Juice WRLD,2022-08-04
10,Lil Baby,2022-08-04
1,Bad Bunny,2022-08-11
2,Drake,2022-08-11
3,Taylor Swift,2022-08-11
4,The Weeknd,2022-08-11
5,Kanye West,2022-08-11
